2025-09-29 19:44:54.861 | INFO     | infra.logging:setup_structured_logging:382 | Structured logging initialized
2025-09-29 19:44:54.864 | INFO     | runner.paper:run_paper_trading:701 | Starting paper trading session
2025-09-29 19:44:54.865 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 19:44:54.866 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 19:44:54.868 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 19:44:54.868 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 19:44:54.869 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 19:44:54.870 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 19:44:54.870 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'MockBinanceClient' object has no attribute 'initialize'
2025-09-29 19:44:54.872 | ERROR    | runner.paper:run_paper_trading:711 | Paper trading session failed: 'MockBinanceClient' object has no attribute 'initialize'
2025-09-29 19:44:54.874 | INFO     | runner.paper:run_paper_trading:714 | Paper trading session ended
2025-09-29 21:38:07.157 | INFO     | infra.logging:setup_structured_logging:382 | Structured logging initialized
2025-09-29 21:38:07.159 | INFO     | runner.paper:run_paper_trading:701 | Starting paper trading session
2025-09-29 21:38:07.160 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 21:38:07.160 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 21:38:07.161 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 21:38:07.161 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 21:38:07.162 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 21:38:07.163 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 21:38:07.163 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:38:07.165 | ERROR    | runner.paper:run_paper_trading:711 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:38:07.167 | INFO     | runner.paper:run_paper_trading:714 | Paper trading session ended
2025-09-29 21:46:22.784 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 21:46:22.785 | INFO     | runner.paper:run_paper_trading:701 | Starting paper trading session
2025-09-29 21:46:22.785 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 21:46:22.786 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 21:46:22.787 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 21:46:22.787 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 21:46:22.788 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 21:46:22.788 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 21:46:22.789 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:46:22.791 | ERROR    | runner.paper:run_paper_trading:711 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:46:22.791 | INFO     | runner.paper:run_paper_trading:714 | Paper trading session ended
2025-09-29 21:47:41.173 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 21:47:41.174 | INFO     | runner.paper:run_paper_trading:712 | Starting paper trading session
2025-09-29 21:47:41.175 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 21:47:41.175 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 21:47:41.176 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 21:47:41.176 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 21:47:41.176 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 21:47:41.177 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 21:47:41.177 | DEBUG    | runner.paper:_initialize_components:167 | Initializing client: MockBinanceClient
2025-09-29 21:47:41.177 | DEBUG    | runner.paper:_initialize_components:171 | Initializing position manager: PositionManager
2025-09-29 21:47:41.177 | DEBUG    | runner.paper:_initialize_components:172 | PositionManager has initialize method: False
2025-09-29 21:47:41.177 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 21:47:41.178 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['calculate_position_size', 'clear_cache', 'client', 'config', 'get_account_balance', 'get_all_positions', 'get_position', 'get_position_risk_metrics', 'setup_symbol']
2025-09-29 21:47:41.178 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:47:41.179 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:47:41.179 | INFO     | runner.paper:run_paper_trading:725 | Paper trading session ended
2025-09-29 21:53:55.934 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 21:53:55.935 | INFO     | runner.paper:run_paper_trading:712 | Starting paper trading session
2025-09-29 21:53:55.935 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 21:53:55.935 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 21:53:55.936 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 21:53:55.936 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 21:53:55.936 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 21:53:55.937 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 21:53:55.937 | DEBUG    | runner.paper:_initialize_components:167 | Initializing client: MockBinanceClient
2025-09-29 21:53:55.937 | DEBUG    | runner.paper:_initialize_components:171 | Initializing position manager: PositionManager
2025-09-29 21:53:55.938 | DEBUG    | runner.paper:_initialize_components:172 | PositionManager has initialize method: False
2025-09-29 21:53:55.938 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 21:53:55.938 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['calculate_position_size', 'clear_cache', 'client', 'config', 'get_account_balance', 'get_all_positions', 'get_position', 'get_position_risk_metrics', 'setup_symbol']
2025-09-29 21:53:55.939 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:53:55.940 | ERROR    | runner.paper:run_paper_trading:722 | Paper trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 21:53:55.940 | INFO     | runner.paper:run_paper_trading:725 | Paper trading session ended
2025-09-29 22:15:33.583 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 22:15:33.584 | INFO     | runner.live:run_live_trading:604 | Starting live trading session
2025-09-29 22:15:33.584 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: OrderManager.__init__() takes 2 positional arguments but 3 were given
2025-09-29 22:15:33.584 | INFO     | runner.live:run_live_trading:617 | Live trading session ended
2025-09-29 22:16:15.429 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 22:16:15.430 | INFO     | runner.paper:run_paper_trading:712 | Starting paper trading session
2025-09-29 22:16:15.430 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 22:16:15.431 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 22:16:15.431 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 22:16:15.431 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 22:16:15.432 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 22:16:15.432 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 22:16:15.432 | DEBUG    | runner.paper:_initialize_components:167 | Initializing client: MockBinanceClient
2025-09-29 22:16:15.435 | DEBUG    | runner.paper:_initialize_components:171 | Initializing position manager: PositionManager
2025-09-29 22:16:15.435 | DEBUG    | runner.paper:_initialize_components:172 | PositionManager has initialize method: True
2025-09-29 22:16:15.436 | DEBUG    | runner.paper:_initialize_components:182 | Initializing signal generator: SignalGenerator
2025-09-29 22:16:15.436 | DEBUG    | runner.paper:_initialize_components:186 | Starting metrics collection: MetricsCollector
2025-09-29 22:16:15.436 | INFO     | infra.metrics:start:118 | Metrics collection started
2025-09-29 22:16:15.437 | INFO     | runner.paper:_initialize_components:189 | All components initialized successfully
2025-09-29 22:16:15.437 | DEBUG    | infra.persistence:load_state:90 | No saved state found: data\bot_state_paper.json
2025-09-29 22:16:15.437 | INFO     | runner.paper:start:106 | Paper trading engine started successfully
2025-09-29 22:16:15.438 | INFO     | runner.paper:_run_trading_loop:201 | Starting paper trading loop
2025-09-29 22:20:55.579 | DEBUG    | infra.metrics:_collect_system_metrics:180 | System metrics: CPU 3.3%, Memory 48.0%, Disk 33.2%
2025-09-29 22:26:05.688 | DEBUG    | infra.metrics:_collect_system_metrics:180 | System metrics: CPU 6.1%, Memory 50.0%, Disk 33.2%
2025-09-29 22:26:16.719 | INFO     | runner.paper:_log_status:628 | Paper trading status
2025-09-29 22:31:15.740 | DEBUG    | infra.metrics:_collect_system_metrics:180 | System metrics: CPU 5.3%, Memory 50.3%, Disk 33.2%
2025-09-29 22:36:16.982 | INFO     | runner.paper:_log_status:628 | Paper trading status
2025-09-29 22:36:25.826 | DEBUG    | infra.metrics:_collect_system_metrics:180 | System metrics: CPU 2.4%, Memory 49.4%, Disk 33.2%
2025-09-29 22:41:35.919 | DEBUG    | infra.metrics:_collect_system_metrics:180 | System metrics: CPU 3.6%, Memory 50.5%, Disk 34.0%
2025-09-29 22:42:40.284 | INFO     | runner.paper:stop:121 | Stopping paper trading engine...
2025-09-29 22:42:40.284 | DEBUG    | infra.persistence:save_state:69 | State saved: data\bot_state_paper.json
2025-09-29 22:42:40.284 | DEBUG    | runner.paper:_save_state:662 | Paper trading state saved successfully
2025-09-29 22:42:40.284 | INFO     | infra.metrics:stop:123 | Metrics collection stopped
2025-09-29 22:42:40.284 | INFO     | runner.paper:_log_final_stats:693 | Paper trading session summary
2025-09-29 22:42:40.284 | INFO     | runner.paper:stop:139 | Paper trading engine stopped
2025-09-29 22:42:40.284 | INFO     | runner.paper:run_paper_trading:725 | Paper trading session ended
2025-09-29 22:42:46.653 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 22:42:46.653 | INFO     | runner.paper:run_paper_trading:712 | Starting paper trading session
2025-09-29 22:42:46.653 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 22:42:46.653 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 22:42:46.653 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 22:42:46.653 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 22:42:46.653 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 22:42:46.653 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 22:42:46.653 | DEBUG    | runner.paper:_initialize_components:167 | Initializing client: MockBinanceClient
2025-09-29 22:42:46.653 | DEBUG    | runner.paper:_initialize_components:171 | Initializing position manager: PositionManager
2025-09-29 22:42:46.653 | DEBUG    | runner.paper:_initialize_components:172 | PositionManager has initialize method: True
2025-09-29 22:42:46.653 | DEBUG    | runner.paper:_initialize_components:182 | Initializing signal generator: SignalGenerator
2025-09-29 22:42:46.653 | DEBUG    | runner.paper:_initialize_components:186 | Starting metrics collection: MetricsCollector
2025-09-29 22:42:46.653 | INFO     | infra.metrics:start:118 | Metrics collection started
2025-09-29 22:42:46.653 | INFO     | runner.paper:_initialize_components:189 | All components initialized successfully
2025-09-29 22:42:46.669 | INFO     | infra.persistence:load_state:101 | State loaded: data\bot_state_paper.json (saved: 2025-09-29T16:42:40.284663)
2025-09-29 22:42:46.669 | INFO     | runner.paper:_load_state:643 | Paper trading state loaded successfully
2025-09-29 22:42:46.669 | INFO     | runner.paper:start:106 | Paper trading engine started successfully
2025-09-29 22:42:46.669 | INFO     | runner.paper:_run_trading_loop:201 | Starting paper trading loop
2025-09-29 22:47:26.748 | DEBUG    | infra.metrics:_collect_system_metrics:180 | System metrics: CPU 2.3%, Memory 49.7%, Disk 34.0%
2025-09-29 22:48:14.486 | INFO     | runner.paper:stop:121 | Stopping paper trading engine...
2025-09-29 22:48:14.488 | DEBUG    | infra.persistence:save_state:69 | State saved: data\bot_state_paper.json
2025-09-29 22:48:14.488 | DEBUG    | runner.paper:_save_state:662 | Paper trading state saved successfully
2025-09-29 22:48:14.488 | INFO     | infra.metrics:stop:123 | Metrics collection stopped
2025-09-29 22:48:14.489 | INFO     | runner.paper:_log_final_stats:693 | Paper trading session summary
2025-09-29 22:48:14.489 | INFO     | runner.paper:stop:139 | Paper trading engine stopped
2025-09-29 22:48:14.489 | INFO     | runner.paper:run_paper_trading:725 | Paper trading session ended
2025-09-29 22:48:18.044 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 22:48:18.045 | INFO     | runner.live:run_live_trading:604 | Starting live trading session
2025-09-29 22:48:18.046 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 22:48:18.046 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 22:48:18.046 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 22:48:18.047 | INFO     | runner.live:__init__:75 | Live trading engine initialized
2025-09-29 22:48:18.047 | INFO     | runner.live:start:85 | Starting live trading engine...
2025-09-29 22:48:18.048 | INFO     | runner.live:_initialize_components:154 | Initializing trading components...
2025-09-29 22:48:18.048 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'BinanceClient' object has no attribute 'test_connectivity'
2025-09-29 22:48:18.049 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'BinanceClient' object has no attribute 'test_connectivity'
2025-09-29 22:48:18.049 | INFO     | runner.live:run_live_trading:617 | Live trading session ended
2025-09-29 22:52:11.877 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 22:52:11.877 | INFO     | runner.live:run_live_trading:604 | Starting live trading session
2025-09-29 22:52:11.878 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 22:52:11.879 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 22:52:11.879 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 22:52:11.879 | INFO     | runner.live:__init__:75 | Live trading engine initialized
2025-09-29 22:52:11.880 | INFO     | runner.live:start:85 | Starting live trading engine...
2025-09-29 22:52:11.880 | INFO     | runner.live:_initialize_components:154 | Initializing trading components...
2025-09-29 22:52:12.716 | ERROR    | runner.live:start:106 | Failed to start live trading engine: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:52:12.716 | ERROR    | runner.live:run_live_trading:614 | Live trading session failed: 'PositionManager' object has no attribute 'initialize'
2025-09-29 22:52:12.717 | INFO     | runner.live:run_live_trading:617 | Live trading session ended
2025-09-29 22:56:24.648 | INFO     | infra.logging:setup_structured_logging:378 | Structured logging initialized
2025-09-29 22:56:24.650 | INFO     | runner.paper:run_paper_trading:712 | Starting paper trading session
2025-09-29 22:56:24.650 | INFO     | strategy.exits:__init__:87 | ExitManager initialized
2025-09-29 22:56:24.650 | INFO     | infra.metrics:__init__:105 | MetricsCollector initialized
2025-09-29 22:56:24.651 | INFO     | infra.persistence:__init__:39 | StateManager initialized: data\bot_state.json
2025-09-29 22:56:24.651 | INFO     | runner.paper:__init__:81 | Paper trading engine initialized
2025-09-29 22:56:24.652 | INFO     | runner.paper:start:94 | Starting paper trading engine...
2025-09-29 22:56:24.652 | INFO     | runner.paper:_initialize_components:164 | Initializing paper trading components...
2025-09-29 22:56:24.652 | DEBUG    | runner.paper:_initialize_components:167 | Initializing client: MockBinanceClient
2025-09-29 22:56:24.653 | DEBUG    | runner.paper:_initialize_components:171 | Initializing position manager: PositionManager
2025-09-29 22:56:24.653 | DEBUG    | runner.paper:_initialize_components:172 | PositionManager has initialize method: False
2025-09-29 22:56:24.653 | ERROR    | runner.paper:_initialize_components:177 | PositionManager <class 'exchange.positions.PositionManager'> does not have initialize method!
2025-09-29 22:56:24.653 | ERROR    | runner.paper:_initialize_components:178 | Available methods: ['client', 'config']
2025-09-29 22:56:24.653 | ERROR    | runner.paper:start:112 | Failed to start paper trading engine: 'PositionManager' object has no attribute 'initialize'
